name,I feel Refreshed,I feel dizzy and irritated,I can plan my day better,I don't feel tired throughout the day
Abbie Harcase,Agree Strongly,Disagree,Agree Strongly,Agree
Allie Stell,Agree,Agree Strongly,Agree,Agree Strongly
Janna Oakton,Agree,Agree Strongly,Agree,Agree Strongly
Ambur Pluvier,Disagree Strongly,Agree Strongly,Agree,Agree Strongly
Madonna Ledwith,Agree,Not Sure,Agree,Agree
Cara Lilford,Agree Strongly,Disagree,Agree,Agree
Lisetta Weekland,Agree,Disagree Strongly,Agree,Agree
Obadias Childers,Agree,Disagree,Agree,Not Sure
Roseanna Mount,Disagree,Disagree Strongly,Agree,Agree
Lemmy Newling,Agree Strongly,Agree,Agree Strongly,Agree
Ronnie Chastey,Agree Strongly,Disagree Strongly,Agree,Not Sure
Hans Adair,Disagree Strongly,Not Sure,Agree Strongly,Disagree Strongly
Adda Ellph,Agree,Disagree,Agree Strongly,Agree Strongly
Hortensia Dyson,Agree,Disagree Strongly,Agree,Not Sure
Torrey Blackwell,Agree,Disagree,Agree,Agree Strongly
Gun MacCarlich,Disagree Strongly,Disagree,Agree,Disagree
Fransisco Mowatt,Disagree,Disagree Strongly,Agree,Agree Strongly
Boony Skeels,Agree,Not Sure,Agree,Agree Strongly
Martynne Aiers,Agree,Not Sure,Agree Strongly,Agree
Ernie Oguz,Disagree Strongly,Disagree,Agree,Agree Strongly
Quinlan Wolfindale,Agree,Disagree,Agree,Agree
Raffarty Legate,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Rabi de Bullion,Agree Strongly,Disagree Strongly,Agree,Agree Strongly
Ellie Short,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree
Valaria Duke,Agree,Disagree Strongly,Agree,Agree
Beverlie Lindbergh,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly
Tammy Eldredge,Disagree Strongly,Disagree,Agree,Agree
Suzanne Johannes,Agree Strongly,Disagree Strongly,Disagree,Agree
Editha Prover,Disagree Strongly,Disagree Strongly,Disagree,Agree Strongly
Lyndel Ruddle,Not Sure,Not Sure,Agree,Not Sure
Blanche Hoult,Agree Strongly,Not Sure,Not Sure,Agree
Janenna Brimble,Agree,Disagree,Agree Strongly,Not Sure
Yulma Acom,Disagree,Disagree,Agree Strongly,Agree
Greer Easeman,Agree,Agree,Agree,Agree
Hart Sutton,Agree,Agree,Agree,Disagree Strongly
Melania Kopf,Agree,Disagree,Not Sure,Disagree
Krystyna Salt,Agree Strongly,Disagree,Agree Strongly,Agree Strongly
Erminia Cakebread,Agree,Disagree Strongly,Agree,Agree Strongly
Ardelis Atkyns,Disagree,Agree,Agree,Agree
Gusty Evreux,Agree,Disagree,Agree,Agree
Ayn Benian,Disagree,Disagree,Agree,Agree
Xenia Gaither,Agree Strongly,Disagree Strongly,Agree,Agree
Julissa Lovelock,Agree Strongly,Disagree,Not Sure,Agree
Pail Sperwell,Agree,Disagree,Agree,Agree
Austina Brasher,Not Sure,Disagree Strongly,Agree,Agree
Paulita Pimlott,Agree,Disagree,Agree,Agree Strongly
Melantha Bockings,Not Sure,Disagree,Agree,Agree Strongly
Laughton Brenston,Not Sure,Disagree,Agree Strongly,Agree Strongly
Inge Lapree,Disagree,Disagree,Agree,Agree Strongly
Wiatt Bellwood,Agree,Agree Strongly,Agree Strongly,Agree
Shina Sher,Agree Strongly,Disagree,Agree Strongly,Agree
Collie Bedell,Agree,Disagree,Agree,Agree
Ernestus Petyakov,Agree,Agree,Agree,Agree Strongly
Faydra Roobottom,Agree,Disagree,Disagree Strongly,Agree Strongly
Theodoric Jenno,Not Sure,Disagree Strongly,Agree,Agree Strongly
Reinald Baglan,Agree Strongly,Disagree Strongly,Agree,Agree
Lou Doblin,Agree,Disagree,Agree,Agree
Roda Astupenas,Agree,Disagree,Agree,Agree
Janek Slade,Agree,Disagree,Agree,Agree Strongly
Cass Dries,Disagree Strongly,Disagree,Agree Strongly,Not Sure
Vidovic Swigg,Agree,Agree,Agree,Not Sure
Joycelin Ellissen,Agree,Disagree,Agree,Agree
Moyra Hosby,Agree,Agree Strongly,Disagree,Agree
Ruddy Prandini,Agree,Disagree,Agree,Agree Strongly
Antonius Mourant,Agree,Disagree,Agree Strongly,Agree
Archer Domnin,Agree,Disagree,Not Sure,Agree
Tabina Goseling,Agree,Disagree Strongly,Agree Strongly,Not Sure
Frankie Seeley,Agree Strongly,Disagree,Disagree Strongly,Agree
Patricio Fitzroy,Agree,Disagree Strongly,Agree,Agree Strongly
Zorah Trahair,Agree,Disagree Strongly,Not Sure,Disagree Strongly
Jake Wellings,Disagree,Disagree,Agree,Agree
Henka Rhubottom,Agree,Disagree Strongly,Agree Strongly,Agree
Diane Ivanov,Agree,Disagree,Disagree Strongly,Agree
Ardyce Polack,Agree Strongly,Disagree Strongly,Agree,Agree
Irena Errichi,Agree,Disagree,Agree,Disagree Strongly
Audrey Klugel,Disagree Strongly,Disagree Strongly,Agree,Agree
Jerome Kinneally,Agree Strongly,Not Sure,Agree,Agree
Zebedee Chaster,Agree,Disagree,Agree,Agree Strongly
Boy Wivell,Agree Strongly,Disagree,Agree,Agree
Adena Linn,Disagree Strongly,Not Sure,Agree Strongly,Agree
Trumaine Wapple,Agree,Disagree,Agree Strongly,Agree
Dalston Jansey,Agree Strongly,Not Sure,Agree,Agree
Renell Skeermor,Not Sure,Disagree Strongly,Agree Strongly,Agree
Shel Renzo,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly
Laird Burtonwood,Agree,Disagree,Agree,Agree
Dennison Maylor,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly
Sayre Worsfold,Agree Strongly,Disagree Strongly,Agree,Agree
Morgan Packer,Agree,Agree,Disagree,Agree
Isabel Mion,Agree,Not Sure,Agree,Agree Strongly
Quinta Chattock,Agree,Disagree,Agree,Agree
Roshelle Penhallurick,Agree,Disagree,Agree Strongly,Agree
Hally Landsman,Agree,Agree,Agree,Agree Strongly
Rutger Freestone,Agree,Disagree,Agree,Agree Strongly
Alayne Barrasse,Agree,Disagree,Not Sure,Agree
Aldous Wein,Agree,Disagree,Agree,Agree
Mona Foggo,Agree Strongly,Disagree Strongly,Agree,Not Sure
Lorne Devany,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly
Marleah Roydon,Agree,Disagree Strongly,Agree,Agree
Win Houlison,Agree Strongly,Disagree,Agree,Agree
Cariotta Dunlap,Agree,Disagree Strongly,Agree,Agree Strongly
Minda Lainge,Disagree,Disagree,Agree,Agree
Lawrence Mathis,Agree,Not Sure,Agree,Agree
Arni Clapson,Not Sure,Disagree,Agree,Agree
Clarabelle Laybourn,Agree,Disagree,Agree Strongly,Agree
Renaldo Gerding,Agree,Disagree Strongly,Agree,Agree Strongly
Lonnie Dullingham,Agree,Agree,Agree,Not Sure
Bibbye Gavrielly,Disagree Strongly,Disagree,Agree,Agree
Shirlene McClory,Agree,Not Sure,Disagree Strongly,Agree Strongly
Cori MacRitchie,Agree Strongly,Disagree,Agree Strongly,Agree
Seana Doe,Agree,Disagree,Agree Strongly,Agree
Almira O' Gara,Agree,Disagree,Agree Strongly,Agree
Barn Phebey,Agree,Agree,Agree,Agree
Chancey Mabb,Agree,Agree,Agree Strongly,Agree
Allie Ciraldo,Agree Strongly,Agree,Agree Strongly,Agree
Sibbie McCardle,Disagree,Disagree Strongly,Agree,Not Sure
Janina Tranter,Agree,Disagree,Not Sure,Agree
Astrix Sedworth,Agree Strongly,Disagree,Agree,Agree Strongly
Angeli Lunney,Agree Strongly,Agree Strongly,Agree,Not Sure
Alie Furminger,Agree,Disagree Strongly,Agree,Not Sure
Ambrosio Walsh,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly
Robby Blasiak,Disagree,Disagree,Not Sure,Agree Strongly
Dniren Kleinhaut,Agree Strongly,Disagree,Agree Strongly,Agree
Aurthur Taile,Agree Strongly,Disagree,Disagree,Agree
Ema Gemmill,Agree,Disagree,Agree,Agree
Theo Kempshall,Disagree Strongly,Disagree,Agree,Agree Strongly
Meris Ganiclef,Agree,Disagree,Agree,Agree
Constantin Bemlott,Agree Strongly,Disagree,Agree,Not Sure
Nicholle Gaisford,Agree Strongly,Disagree,Agree,Agree
Wheeler Kears,Agree,Not Sure,Agree,Agree Strongly
Sergei Nulty,Agree Strongly,Disagree,Agree,Agree
Zulema Lewsy,Agree,Disagree Strongly,Agree,Agree
Philip Bugge,Agree,Disagree,Agree Strongly,Disagree Strongly
Cynthea Ambroise,Disagree,Disagree,Agree,Disagree Strongly
Idalina Skitt,Disagree,Disagree,Agree,Agree
Randee Tawse,Agree Strongly,Agree,Agree,Not Sure
Drusy Longbottom,Agree Strongly,Disagree,Agree Strongly,Agree
Lucky Vallens,Disagree Strongly,Disagree,Agree,Agree
